,Year,Country,Continent_Name,Nominal GDP (Billion),Population,GDP per Capita
182,2019,Tunisia,Africa,38.73,11694721.000000002,3312.0
183,2019,Turkey,Europe,743.71,83429607.0,8914.0
184,2019,Turkey,Asia,743.71,83429607.0,8914.0
185,2019,Turkmenistan,Asia,46.67,5942094.0,7854.0
186,2019,Tuvalu,Oceania,0.04,11655.0,3432.0
187,2019,Uganda,Africa,30.67,44269587.0,693.0
188,2019,Ukraine,Europe,150.4,43993643.0,3419.0
189,2019,United Arab Emirates,Asia,405.77,9770526.0,41530.0
190,2019,United Kingdom,,2743.59,67530161.0,40628.0
191,2019,United States,,21439.45,,
192,2019,Uruguay,South America,59.92,3461731.0,17309.0
193,2019,Uzbekistan,Asia,60.49,32981714.999999996,1834.0
194,2019,Vanuatu,Oceania,0.95,299882.0,3168.0
195,2019,Venezuela,South America,70.14,,
196,2019,Vietnam,Asia,261.64,96462108.0,2712.0
197,2019,Yemen,Asia,29.86,29161922.000000004,1024.0
198,2019,Zambia,Africa,23.95,17861034.0,1341.0
199,2019,Zimbabwe,Africa,12.82,14645473.0,875.0
